Condition,Item,ItemNum,List,Order,RT,Response,Likely_intended_production,Likely_Intended_Production_Split,Words_in_Intended_Production,Form_of_Intended_Production,Subject_is_Well_Formed,Verb_is_Well_Formed,Post-Verb_is_Well_Formed,Target,target_subj_noun,target_verb,target_obj_noun,target_other,Run,SubjID,TrialNumber,TrialOnset
SPROD,4858197102.jpg,103,2,11,0,tje nanu oss uawmiomg,the baby is yawning,the baby /is yawning/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,A man is holding a (newborn) baby.,man,holding,baby,,5,FED_20191120b_3T2,36,209
SPROD,6338733.jpg,84,2,11,0,"tje wp,am os jp;domg a stp[ sogm",the woman is holding a stop sign,the woman /is holding/ a stop sign,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A woman is holding a stop sign.,woman,holding,stop sign,,5,FED_20191120b_3T2,37,216
SPROD,5411504795.jpg,124,2,11,0,tje for; os smoffomg a f;pwe,the girl is smelling a flower,the girl /is smelling/ a flower,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A little girl is smelling a flower.,girl,smelling,flower,,5,FED_20191120b_3T2,38,223
SPROD,6845394024.jpg,7,1,2,0,child is briushing his teeth,child is brushing his teeth,child/ is brushing /his teeth,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A (young) boy is brushing his teeth.,boy,brushing,teeth,,2,FED_20200205a_3T2,22,116
SPROD,7995263133.jpg,64,1,2,0,young boy sleeping,young boy sleeping,young boy /sleeping/,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,NA,A young boy is sleeping (on a striped pillow).,boy,sleeping,,pillow,2,FED_20200205a_3T2,23,123
SPROD,6110845331.jpg,24,1,2,0,young girl is coloring on poster,young girl is coloring on poster,young girl /is coloring/ on poster,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",0,1,0,A girl is coloring with crayons (on the floor?).,girl,coloring,,crayons/floor,2,FED_20200205a_3T2,24,130
SPROD,4585839343.jpg,44,1,2,0,woman is blowing dandelions,woman is blowing dandelions,woman /is blowing/ dandelions,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",0,1,1,A woman is blowing on a dandelion.,woman,blowing,dandelion/flower,field,2,FED_20200205a_3T2,25,137
SPROD,5220880759.jpg,16,1,2,0,man is takinga shower,man is taking a shower,man/ is taking/ a shower,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",0,1,1,A man is taking a shower.,man,taking,shower,,2,FED_20200205a_3T2,27,158
SPROD,33256003.jpg,36,1,2,0,a woman is putting on lipstick and smiling,a woman is putting on lipstick and smiling,a woman /is putting /on lipstick and smiling,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A woman is applying lipstick.,woman,applying,lipstick,,2,FED_20200205a_3T2,28,165
SPROD,6721214117.jpg,41,1,2,0,a man is bowling,a man is bowling,a man/ is bowling/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A man is bowling.,man,bowling,,,2,FED_20200205a_3T2,29,172
SPROD,6354735653.jpg,62,1,2,0,a man is rock climbingrs,a man is rock climbing,a man/ is rock climbing/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,A man is rock climbing.,man,rock climbing,,cliff/rock,2,FED_20200205a_3T2,30,179
SPROD,5669914204.jpg,13,1,10,0,LOOKING AT TELESCOPE,looking at telescope,/looking/ at telescope,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,A (young) boy is looking through a telescope.,boy,looking,,telescope,4,FED_20191204b_3T2,10,58
SPROD,5840187633.jpg,35,1,10,0,GIRL ON TREADMILL,girl on treadmill,girl //on treadmill,2+,Noun Phrase,NA,NA,0,A little girl is walking on a treadmill.,girl,walking,,treadmill,4,FED_20191204b_3T2,11,65
SPROD,3677329561.jpg,27,1,10,0,WASHING THE DOG,washing the dog,/washing/ the dog,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,Two girls are washing a dog.,girls,washing,dog,outside,4,FED_20191204b_3T2,12,72
SPROD,4789495327.jpg,31,1,10,0,CALLING ON CELL PHONE,calling on cell phone,/calling/ on cell phone,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,A woman is talking on a cell phone.,woman,talking,,cell phone,4,FED_20191204b_3T2,13,79
SPROD,4585839343.jpg,44,1,10,0,A WOMAN IS PICKING FLOWERS,a woman is picking flowers,a woman /is picking/ flowers,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A woman is blowing on a dandelion.,woman,blowing,dandelion/flower,field,4,FED_20191204b_3T2,39,216
SPROD,4896173039.jpg,22,1,10,0,A WOMAN IS READING,a woman is reading,a woman/ is reading/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,A woman is reading a book.,woman,reading,book,outside,4,FED_20191204b_3T2,40,223
SPROD,6882674785.jpg,20,1,10,0,A GIRL IS BLIOWING BUBBLES,a girl is blowing bubbles,a girl /is blowing/ bubbles,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A little girl is blowing bubbles.,girl,blowing,bubbles,,4,FED_20191204b_3T2,41,230
SPROD,4696829163.jpg,54,1,10,0,A BOY IS FISHING,a boy is fishing,a boy /is fishing/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,A boy is holding up a fish (he caught).,boy,holding,fish,caught,4,FED_20191204b_3T2,42,237
SPROD,3673032164.jpg,117,2,12,0,"AE, QEWAR;MIF",??,??,??,Unknown,Unknown,Unknown,Unknown,Two girls are arm-wrestling.,girls,arm-wrestling,,,1,FED_20191120d_3T2,18,86
SPROD,4753970630.jpg,122,2,12,0,JUMPING INTO POOL,jumping into pool,/jumping/ into pool,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,A little girl is jumping into a pool.,girl,jumping,,pool,1,FED_20191120d_3T2,19,93
SPROD,4968012871.jpg,72,2,12,0,HOLDING CHIECKEN,holding chicken,/holding/ chicken,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,A woman is holding a chicken/rooster.,woman,holding,chicken/rooster,,1,FED_20191120d_3T2,20,100
SPROD,5334523454.jpg,120,2,12,0,HOLDING BIRDS,holding birds,/holding/ birds,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A boy is holding a bird in his hands.,boy,holding,bird,hands,1,FED_20191120d_3T2,21,107
SPROD,6552971469.jpg,102,2,12,0,SINGING,singing,singing,1,Gerund,NA,0,NA,A choir is singing.,choir,singing,,,1,FED_20191120d_3T2,31,188
SPROD,104669470.jpg,70,2,12,0,FRUIT ON HEAD,fruit on head,fruit //on head,2+,Noun Phrase,0,NA,0,A woman is carrying a bowl of fruit on her head.,woman,carrying,bowl,fruit/head,1,FED_20191120d_3T2,32,195
SPROD,4986581949.jpg,81,2,12,0,ON SUBWAY,on subway,//on subway,2+,Noun Phrase,NA,NA,0,A woman is sitting on the subway.,woman,sitting,subway,,1,FED_20191120d_3T2,33,202
SPROD,28144507.jpg,96,2,12,0,WASHING WINDOQ,washing window,/washing/ window,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,A man is washing windows.,man,washing,windows,,1,FED_20191120d_3T2,34,209
SPROD,6053720349.jpg,11,1,1,0,child sits in suitcase,child sits in suitcase,child /sits/ in suitcase,2+,"Subject and Non-Gerund Verb ""Newspaper Syntax""",0,1,0,A baby is sitting in a suitcase.,baby,sitting,,suitcase/luggage,6,FED_20200130b_3T2,2,14
SPROD,3819214047.jpg,59,1,1,0,kid sits on his board,kid sits on his board,kid /sits /on his board,2+,"Subject and Non-Gerund Verb ""Newspaper Syntax""",0,1,1,A boy/man is sitting on his skateboard.,man,sitting,,skateboard,6,FED_20200130b_3T2,3,21
SPROD,5534793306.jpg,48,1,1,0,manpaints a column,man paints a column,man/ paints/ a column,2+,"Subject and Non-Gerund Verb ""Newspaper Syntax""",0,1,1,A man is painting a column (on a ladder).,man,painting,column,ladder,6,FED_20200130b_3T2,4,28
SPROD,7995263133.jpg,64,1,1,0,boy sleeps on pillow,boy sleeps on pillow,boy /sleeps /on pillow,2+,"Subject and Non-Gerund Verb ""Newspaper Syntax""",0,1,0,A young boy is sleeping (on a striped pillow).,boy,sleeping,,pillow,6,FED_20200130b_3T2,5,35
SPROD,6237869128.jpg,63,1,1,0,woman puts on boot,woman puts on boot,woman /puts/ on boot,2+,"Subject and Non-Gerund Verb ""Newspaper Syntax""",0,1,0,A woman is putting on a boot.,woman,putting on,boot,floor,6,FED_20200130b_3T2,47,260
SPROD,4263999253.jpg,56,1,1,0,kids shobel,kids shovel,kids /shovel/,2+,"Subject and Non-Gerund Verb ""Newspaper Syntax""",1,1,NA,Two kids are shoveling snow.,kids,shoveling,snow,,6,FED_20200130b_3T2,48,267
SPROD,7188003.jpg,51,1,1,0,skiing,skiing,skiing,1,Gerund,NA,0,NA,A person is skiing down a steep slope.,person,skiing,slope,,6,FED_20200130b_3T2,49,274
SPROD,4896173039.jpg,22,1,1,0,woman reads journal,woman reads journal,woman /reads/ journal,2+,"Subject and Non-Gerund Verb ""Newspaper Syntax""",0,1,0,A woman is reading a book.,woman,reading,book,outside,6,FED_20200130b_3T2,50,281
SPROD,4580613274.jpg,34,1,4,0,",SM DERRPINH DTRPD",man sweeping steps,man /sweeping/ steps,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A man is sweeping the steps.,man,sweeping,steps,,3,FED_20200205b_3T2,14,72
SPROD,4705826062.jpg,49,1,4,0,",SM RSYIMNH IBT BTRTDM",man eating ice cream,man /eating/ ice cream,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,1,A man is eating an ice cream cone.,man,eating,ice cream cone,,3,FED_20200205b_3T2,15,79
SPROD,6110845331.jpg,24,1,4,0,HITL GTDSEINH ON GLOOT,girl coloring on floor,girl /coloring/ on floor,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A girl is coloring with crayons (on the floor?).,girl,coloring,,crayons/floor,3,FED_20200205b_3T2,16,86
SPROD,4766583860.jpg,38,1,4,0,GORTL ON DEINHDET,girl on swingset,girl //on swingset,2+,Noun Phrase,0,NA,0,A girl is swinging (on a swing).,girl,swinging,,swing set,3,FED_20200205b_3T2,17,93
SPROD,4585839343.jpg,44,1,4,0,BLIOSSINGH FSNFRLION,blowing dandelion,/blowing/ dandelion,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,A woman is blowing on a dandelion.,woman,blowing,dandelion/flower,field,3,FED_20200205b_3T2,35,202
SPROD,6681702227.jpg,33,1,4,0,VJTTJN G HAIR,cutting hair,/cutting/ hair,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A woman is cutting a man's hair.,woman,cutting,hair,man/haircut,3,FED_20200205b_3T2,36,209
SPROD,6845394024.jpg,7,1,4,0,NOPT BRIUSHING TEETH,boy brushing teeth,boy /brushing /teeth,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A (young) boy is brushing his teeth.,boy,brushing,teeth,,3,FED_20200205b_3T2,37,216
SPROD,4896173039.jpg,22,1,4,0,EOMASN TEADFING BOOK,woman reading book,woman/ reading/ book,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A woman is reading a book.,woman,reading,book,outside,3,FED_20200205b_3T2,38,223
SPROD,150582765.jpg,105,2,8,0,ouctyre tajubg,picture taking,picture taking,2+,"Subject and Gerund ""Newspaper Syntax""",NA,0,0,A woman is taking a picture (with a camera).,woman,taking,picture,camera,4,FED_20191120d_3T2,2,14
SPROD,4511110810.jpg,89,2,8,0,bkiwubg bybbkes,blowing bubbles,/blowing /bubbles,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A man is blowing bubbles.,man,blowing,bubbles,,4,FED_20191120d_3T2,3,21
SPROD,3686889377.jpg,121,2,8,0,making food,making food,/making /food,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A woman is washing the dishes.,woman,washing,dishes,kitchen sink,4,FED_20191120d_3T2,4,28
SPROD,4895017117.jpg,92,2,8,0,accuming,vacuuming,vacuuming,1,Gerund,NA,0,NA,A man is vacuuming (a bedroom).,man,vacuuming,room,floor/carpet,4,FED_20191120d_3T2,5,35
SPROD,44419435.jpg,76,2,8,0,sitting playing piano,sitting,sitting,1,Gerund,NA,0,NA,A young girl is sitting on a railing.,girl,sitting,,railing,4,FED_20191120d_3T2,47,260
SPROD,5293561716.jpg,116,2,8,0,chopping wood,playing piano,/playing /piano,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,A (young) boy is playing the piano.,boy,playing,piano,,4,FED_20191120d_3T2,48,267
SPROD,4842516865.jpg,94,2,8,0,reading while,chopping wood,/chopping/ wood,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A man is chopping wood.,man,chopping,wood,axe,4,FED_20191120d_3T2,49,274
SPROD,4572715888.jpg,74,2,8,0,waiting for train,reading while waiting for train,/reading/ while waiting for train,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,A man is reading a book (while waiting for the train).,man,reading,book,subway/train,4,FED_20191120d_3T2,50,281
SPROD,3808935147.jpg,106,2,2,0,kidss jmping on a trampoline,kids jumping on a trampoline,kids/ jumping /on a trampoline,2+,Subject and Gerund Well-Formed,1,0,1,Two boys are jumping on a trampoline.,boys,jumping,,trampoline,2,FED_20191120c_3T2,22,116
SPROD,3652094744.jpg,65,2,2,0,kid watering a maple,kid watering a maple,kid /watering/ a maple,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,1,A (little) boy is watering a plant.,boy,watering,plant,,2,FED_20191120c_3T2,23,123
SPROD,5334523454.jpg,120,2,2,0,shirtlesss kid holding a bird,shirtless kid holding a bird,shirtless kid /holding /a bird,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,1,A boy is holding a bird in his hands.,boy,holding,bird,hands,2,FED_20191120c_3T2,24,130
SPROD,4555514125.jpg,86,2,2,0,man pshbj ga couch through sidewalk,man pushing a couch through sidewalk,man /pushing/ a couch through sidewalk,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A man is pushing a couch down a street/sidewalk.,man,pushing,couch,sidewalk/street,2,FED_20191120c_3T2,25,137
SPROD,4842516865.jpg,94,2,2,0,man xcutting logs,man cutting logs,man /cutting logs,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,1,A man is chopping wood.,man,chopping,wood,axe,2,FED_20191120c_3T2,27,158
SPROD,7119846943.jpg,75,2,2,0,little girl hoola hooping,little girl hula-hooping,little girl /hula-hooping/,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,NA,A girl is hula-hooping.,girl,hula-hooping,,,2,FED_20191120c_3T2,28,165
SPROD,8189395281.jpg,111,2,2,0,girl doing stuffn idk,girl doing stuff idk,girl /doing/ stuff idk,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,1,A woman is roller skating.,woman,roller skating,,indoors,2,FED_20191120c_3T2,29,172
SPROD,2047030603.jpg,82,2,2,0,man pushing carts,man pushing carts,man /pushing/ carts,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,1,A man is pushing a cart full of grocery bags.,man,pushing,cart,bags,2,FED_20191120c_3T2,30,179
SPROD,36979.jpg,66,2,6,0,[p[;r [;somj [p;rt,??,??,Unknown,Unknown,Unknown,Unknown,Unknown,A group of people are playing poker.,group,playing,poker,,6,FED_20200213b_3T2,6,44
SPROD,4786057236.jpg,78,2,6,0,",sm ;smr xpdytirm",man ?? ??,man ?? ??,Unknown,Unknown,0,NA,NA,A man is playing the accordion.,man,playing,accordion,,6,FED_20200213b_3T2,7,51
SPROD,4715971264.jpg,88,2,6,0,j[u hoffo’omh,man juggling,man/ juggling/,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,NA,A (young) man is juggling (three balls).,man,juggling,balls,,6,FED_20200213b_3T2,8,58
SPROD,5194027799.jpg,79,2,6,0,hor; [‘phm ]o]]oy,girl holding puppy,girl/ holding/ puppy,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A woman is holding a puppy.,woman,holding,puppy,,6,FED_20200213b_3T2,9,65
SPROD,12142386.jpg,91,2,6,0,"s ,.sm od jogg;omh",man is juggling,man/ is juggling/,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",0,1,NA,A man is juggling balls.,man,juggling,balls,,6,FED_20200213b_3T2,43,230
SPROD,4610962283.jpg,97,2,6,0,"as pw,am os [;auomh hard",a woman is playing harp,a woman/ is playing/ harp,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",1,1,0,A woman is playing the harp.,woman,playing,harp,,6,FED_20200213b_3T2,44,237
SPROD,4436749692.jpg,68,2,6,0,"a ,.am os teradomh a[er",a man is reading paper,a man /is reading/ paper,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",1,1,0,A man is reading the newspaper.,man,reading,newspaper,,6,FED_20200213b_3T2,45,244
SPROD,3719712280.jpg,98,2,6,0,"a erspm os [;auomh i;yo,syr",a person is playing frisbee,a person /is playing/ frisbee,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A woman is diving to catch a frisbee.,woman,diving/catching,frisbee,,6,FED_20200213b_3T2,46,251
SPROD,4786057236.jpg,78,2,1,0,nfu od hjfuom fj,man is playing ??,man/ is playing/ ??,Unknown,Unknown,0,1,Unknown,A man is playing the accordion.,man,playing,accordion,,6,FED_20191204a_3T2,2,14
SPROD,28144507.jpg,96,2,1,0,bfu od efdhi,man is ??,man/ is/ ??,Unknown,Unknown,0,1,Unknown,A man is washing windows.,man,washing,windows,,6,FED_20191204a_3T2,3,21
SPROD,41105465.jpg,80,2,1,0,bfu of bylnifiom,man is ??,man /is/ ??,Unknown,Unknown,0,1,Unknown,A man is meditating in a park.,man,meditating,,park,6,FED_20191204a_3T2,4,28
SPROD,7742281954.jpg,85,2,1,0,pkleuing df[,playing ??,/playing/ ??,Unknown,Unknown,NA,0,Unknown,A man is playing the saxophone.,man,playing,saxophone,outside/garden,6,FED_20191204a_3T2,5,35
SPROD,6160193920.jpg,90,2,1,0,ijnfu eo cvili,woman is ??,woman/ is/ ??,Unknown,Unknown,0,1,Unknown,A woman is smiling/laughing.,woman,smiling/laughing,,,6,FED_20191204a_3T2,47,260
SPROD,5506407501.jpg,87,2,1,0,vfu opd orjinin,man is ironing,man/ is ironing/,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",0,1,NA,A man is ironing a shirt.,man,ironing,shirt,,6,FED_20191204a_3T2,48,267
SPROD,4895017117.jpg,92,2,1,0,vfu pd vfcuuming,man is vacuuming,man/ is vacuuming/,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",0,1,NA,A man is vacuuming (a bedroom).,man,vacuuming,room,floor/carpet,6,FED_20191204a_3T2,49,274
SPROD,8189395281.jpg,111,2,1,0,ijbfu pd rjkkt,woman is roller,woman /is roller/,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",0,1,NA,A woman is roller skating.,woman,roller skating,,indoors,6,FED_20191204a_3T2,50,281
SPROD,4050265867.jpg,18,1,11,0,YAWNING,yawning,yawning,1,Gerund,NA,0,NA,A baby is yawning.,baby,yawning,,,5,FED_20191204b_3T2,14,72
SPROD,33256003.jpg,36,1,11,0,PUTTING ON LIPSTICK,putting on lipstick,putting/ on lipstick,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A woman is applying lipstick.,woman,applying,lipstick,,5,FED_20191204b_3T2,15,79
SPROD,55903788.jpg,2,1,11,0,BRAIDING HAIR,braiding hair,/braiding /hair,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A woman brushes another woman's hair.,woman,brushes,hair,woman,5,FED_20191204b_3T2,16,86
SPROD,6237339784.jpg,30,1,11,0,CLIMBING A TREE,climbing a tree,/climbing/ a tree,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A boy/kid/child is sitting in a tree.,boy,sitting,,tree/branch,5,FED_20191204b_3T2,17,93
SPROD,3665441862.jpg,43,1,11,0,CLIMBING A FENCE,climbing a fence,/climbing/ a fence,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A young girl is climbing a fence.,girl,climbing,fence,,5,FED_20191204b_3T2,35,202
SPROD,35268263.jpg,60,1,11,0,SEWING AN OUTFIT,sewing an outfit,/sewing /an outfit,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A woman is sewing (on her sewing machine).,woman,sewing/using,sewing machine,,5,FED_20191204b_3T2,36,209
SPROD,5194023863.jpg,28,1,11,0,HOLDING SOMETHIHNG,holding somethihng,/holding/ somethihng,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A (little) girl is holding a snail.,girl,holding,snail,,5,FED_20191204b_3T2,37,216
SPROD,6237869128.jpg,63,1,11,0,PUTTING ON SHOES,putting on shoes,/putting/ on shoes,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A woman is putting on a boot.,woman,putting on,boot,floor,5,FED_20191204b_3T2,38,223
SPROD,150582765.jpg,105,2,10,0,"yjr eom,snid phoyogtspjiomh dom,ryhing",the woman is photographing something,the woman /is photographing/ something,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A woman is taking a picture (with a camera).,woman,taking,picture,camera,4,FED_20191120b_3T2,10,58
SPROD,4511110810.jpg,89,2,10,0,thr msn id bloeingh bubbblrd,the man is blowing bubbles,the man /is blowing/ bubbles,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A man is blowing bubbles.,man,blowing,bubbles,,4,FED_20191120b_3T2,11,65
SPROD,3686889377.jpg,121,2,10,0,yhr eomsn id esdhimhn domryhinh,the woman is washing dishes,the woman /is washing/ dishes,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",1,1,0,A woman is washing the dishes.,woman,washing,dishes,kitchen sink,4,FED_20191120b_3T2,12,72
SPROD,4895017117.jpg,92,2,10,0,"th rmsn id bsvuum,inh",the man is vacuuming,the man/ is vacuuming/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,A man is vacuuming (a bedroom).,man,vacuuming,room,floor/carpet,4,FED_20191120b_3T2,13,79
SPROD,44419435.jpg,76,2,10,0,tj gor; os sottiomg pf tj enameoser,the girl is sitting on the ??,the girl /is sitting /on the ??,2+,Incomplete,1,1,Incomplete,A young girl is sitting on a railing.,girl,sitting,,railing,4,FED_20191120b_3T2,39,216
SPROD,5293561716.jpg,116,2,10,0,tje npu os[aomgm[oamp,the boy is playing piano,the boy /is playing/ piano,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",1,1,0,A (young) boy is playing the piano.,boy,playing,piano,,4,FED_20191120b_3T2,40,223
SPROD,4842516865.jpg,94,2,10,0,"tje ,am os cjp[[omg wppd",the man is chopping wood,the man/ is chopping/ wood,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A man is chopping wood.,man,chopping,wood,axe,4,FED_20191120b_3T2,41,230
SPROD,4572715888.jpg,74,2,10,0,"tje ,amos readomganppl",the man is reading a book,the man /is reading /a book,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A man is reading a book (while waiting for the train).,man,reading,book,subway/train,4,FED_20191120b_3T2,42,237
SPROD,3677329561.jpg,27,1,3,0,two girls are washing a dog by white vehicle,two girls are washing a dog by white vehicle,two girls /are washing/ a dog by white vehicle,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",1,1,0,Two girls are washing a dog.,girls,washing,dog,outside,3,FED_20200205a_3T2,18,102
SPROD,4580613274.jpg,34,1,3,0,a man is sweeping stairs among greenergy,a man is sweeping stairs among greenery,a man/ is sweeping/ stairs among greenery,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A man is sweeping the steps.,man,sweeping,steps,,3,FED_20200205a_3T2,19,109
SPROD,2667549961.jpg,10,1,3,0,a baby is cawling on floor near plastic bottle,a baby is crawling on floor near plastic bottle,a baby/ is crawling/ on floor near plastic bottle,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",1,1,0,A baby is crawling (on a floor toward a water bottle).,baby,crawling,,floor/bottle,3,FED_20200205a_3T2,20,116
SPROD,4772785237.jpg,25,1,3,0,a man is sweeping sidewalk,a man is sweeping sidewalk,a man/ is sweeping/ sidewalk,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",1,1,0,A man is sweeping the sidewalk.,man,sweeping,sidewalk,,3,FED_20200205a_3T2,21,123
SPROD,4387675829.jpg,14,1,3,0,a girl is playing with model train track\,a girl is playing with model train track,a girl /is playing/ with model train track,2+,"Subject and Tensed Gerund Verb ""Newspaper Syntax""",1,1,0,A girl is playing with a toy train.,girls,playing,,toy train,3,FED_20200205a_3T2,31,172
SPROD,3672940355.jpg,12,1,3,0,a girl is kicking a ball,a girl is kicking a ball,a girl /is kicking/ a ball,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A young girl is kicking a ball.,girl,kicking,ball,outside/yard/grass,3,FED_20200205a_3T2,32,179
SPROD,807129.jpg,47,1,3,0,a man is playing a flute outside,a man is playing a flute outside,a man/ is playing/ a flute outside,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A man is playing the flute.,man,playing/sitting,flute,outside,3,FED_20200205a_3T2,33,186
SPROD,6237339784.jpg,30,1,3,0,a kid is straddling a tree branch,a kid is straddling a tree branch,a kid/ is straddling/ a tree branch,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A boy/kid/child is sitting in a tree.,boy,sitting,,tree/branch,3,FED_20200205a_3T2,34,193
SPROD,12142386.jpg,91,2,3,0,man juggling balls,man juggling balls,man /juggling/ balls,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,1,A man is juggling balls.,man,juggling,balls,,3,FED_20191120c_3T2,18,102
SPROD,4968012871.jpg,72,2,3,0,a women gholding a chicken,a women holding a chicken,a women/ holding /a chicken,2+,Subject and Gerund Well-Formed,1,0,1,A woman is holding a chicken/rooster.,woman,holding,chicken/rooster,,3,FED_20191120c_3T2,19,109
SPROD,3549408779.jpg,109,2,3,0,a doggo swimming in a pool,a doggo swimming in a pool,a doggo /swimming/ in a pool,2+,Subject and Gerund Well-Formed,1,0,1,A dog is swimming (in a pool).,dog,swimming,,pool/water,3,FED_20191120c_3T2,20,116
SPROD,5505219003.jpg,128,2,3,0,"a m,am sp;viomg a;gebra",a man solving algebra,a man /solving/ algebra,2+,Subject and Gerund Well-Formed,1,0,1,A man is writing on a chalkboard.,man,writing,equations,chalkboard,3,FED_20191120c_3T2,21,123
SPROD,4436749692.jpg,68,2,3,0,a man readubg a bewsoaoer,a man reading a newspaper,a man /reading /a newspaper,2+,Subject and Gerund Well-Formed,1,0,1,A man is reading the newspaper.,man,reading,newspaper,,3,FED_20191120c_3T2,31,172
SPROD,4322110026.jpg,101,2,3,0,a man sgavubg,a man shaving,a man/ shaving/,2+,Subject and Gerund Well-Formed,1,0,NA,A man is shaving his face.,man,shaving,face,,3,FED_20191120c_3T2,32,179
SPROD,4986581949.jpg,81,2,3,0,a woman riding the subway,a woman riding the subway,a woman /riding/ the subway,2+,Subject and Gerund Well-Formed,1,0,1,A woman is sitting on the subway.,woman,sitting,subway,,3,FED_20191120c_3T2,33,186
SPROD,8057415401.jpg,118,2,3,0,two men playing checkers,two men playing checkers,two men /playing/ checkers,2+,Subject and Gerund Well-Formed,1,0,1,Two men are playing checkers.,men,playing,checkers,,3,FED_20191120c_3T2,34,193
